description,status
Certificate Services template security was updated,0
The Per-user audit policy table was created,0
An attempt was made to register a security event source,0
An attempt was made to unregister a security event source,0
The CrashOnAuditFail value has changed,0
Auditing settings on object were changed,0
Special Groups Logon table modified,0
The local policy settings for the TBS were changed,0
The group policy settings for the TBS were changed,0
Resource attributes of the object were changed,0
Per User Audit Policy was changed,0
Central Access Policy on the object was changed,0
An Active Directory replica source naming context was established,0
An Active Directory replica source naming context was removed,0
An Active Directory replica source naming context was modified,0
An Active Directory replica destination naming context was modified,0
Synchronization of a replica of an Active Directory naming context has begun,0
Synchronization of a replica of an Active Directory naming context has ended,0
Attributes of an Active Directory object were replicated,0
Replication failure begins,1
Replication failure ends,1
A lingering object was removed from a replica,0
The following policy was active when the Windows Firewall started,0
A rule was listed when the Windows Firewall started,0
A change has been made to Windows Firewall exception list. A rule was added,0
A change has been made to Windows Firewall exception list. A rule was modified,0
A change has been made to Windows Firewall exception list. A rule was deleted,0
Windows Firewall settings were restored to the default values,0
A Windows Firewall setting has changed,0
A rule has been ignored because its major version number was not recognized by Windows Firewall,0
Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall,0
A rule has been ignored by Windows Firewall because it could not parse the rule,0
Windows Firewall Group Policy settings has changed. The new settings have been applied,0
Windows Firewall has changed the active profile,0
Windows Firewall did not apply the following rule,1
Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer,0
IPsec dropped an inbound packet that failed an integrity check,1
IPsec dropped an inbound packet that failed a replay check,1
IPsec dropped an inbound packet that failed a replay check,1
IPsec dropped an inbound clear text packet that should have been secured,0
Special groups have been assigned to a new logon,0
IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI).,0
"During Main Mode negotiation, IPsec received an invalid negotiation packet.",0
"During Quick Mode negotiation, IPsec received an invalid negotiation packet.",0
"During Extended Mode negotiation, IPsec received an invalid negotiation packet.",0
IPsec Main Mode and Extended Mode security associations were established.,0
IPsec Main Mode and Extended Mode security associations were established,0
IPsec Main Mode and Extended Mode security associations were established,0
IPsec Main Mode and Extended Mode security associations were established,0
An IPsec Extended Mode negotiation failed,1
An IPsec Extended Mode negotiation failed,1
The state of a transaction has changed,0
The Windows Firewall Service has started successfully,0
The Windows Firewall Service has been stopped,0
The Windows Firewall Service was unable to retrieve the security policy from the local storage,0
The Windows Firewall Service was unable to parse the new security policy.,0
The Windows Firewall Service failed to initialize the driver,1
The Windows Firewall Service failed to start,1
The Windows Firewall Service blocked an application from accepting incoming connections on the network.,1
Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network,1
The Windows Firewall Driver has started successfully,0
The Windows Firewall Driver has been stopped,0
The Windows Firewall Driver failed to start,1
The Windows Firewall Driver detected critical runtime error. Terminating,1
Code integrity determined that the image hash of a file is not valid,1
A registry key was virtualized.,0
A change has been made to IPsec settings. An Authentication Set was added.,0
A change has been made to IPsec settings. An Authentication Set was modified,0
A change has been made to IPsec settings. An Authentication Set was deleted,0
A change has been made to IPsec settings. A Connection Security Rule was added,0
A change has been made to IPsec settings. A Connection Security Rule was modified,0
A change has been made to IPsec settings. A Connection Security Rule was deleted,0
A change has been made to IPsec settings. A Crypto Set was added,0
A change has been made to IPsec settings. A Crypto Set was modified,0
A change has been made to IPsec settings. A Crypto Set was deleted,0
An IPsec Security Association was deleted,0
An attempt to programmatically disable the Windows Firewall using a call to INetFwProfile.FirewallEnabled(FALSE,1
A file was virtualized,0
A cryptographic self test was performed,0
A cryptographic primitive operation failed,1
Key file operation,0
Key migration operation,0
Verification operation failed,1
Cryptographic operation,0
A kernel-mode cryptographic self test was performed,0
A cryptographic provider operation was attempted,0
A cryptographic context operation was attempted,0
A cryptographic context modification was attempted,0
A cryptographic function operation was attempted,0
A cryptographic function modification was attempted,0
A cryptographic function provider operation was attempted,0
A cryptographic function property operation was attempted,0
A cryptographic function property operation was attempted,0
Key access denied by Microsoft key distribution service,1
OCSP Responder Service Started,0
OCSP Responder Service Stopped,0
A Configuration entry changed in the OCSP Responder Service,0
A configuration entry changed in the OCSP Responder Service,0
A security setting was updated on OCSP Responder Service,0
A request was submitted to OCSP Responder Service,0
Signing Certificate was automatically updated by the OCSP Responder Service,0
The OCSP Revocation Provider successfully updated the revocation information,0
A directory service object was modified,0
A directory service object was created,0
A directory service object was undeleted,0
A directory service object was moved,0
A network share object was accessed,0
A directory service object was deleted,1
A network share object was added.,0
A network share object was modified,0
A network share object was deleted.,0
A network share object was checked to see whether client can be granted desired access,1
The Windows Filtering Platform has blocked a packet,1
A more restrictive Windows Filtering Platform filter has blocked a packet,1
The Windows Filtering Platform has detected a DoS attack and entered a defensive mode; packets associated with this attack will be discarded.,1
The DoS attack has subsided and normal processing is being resumed.,1
The Windows Filtering Platform has blocked a packet.,0
A more restrictive Windows Filtering Platform filter has blocked a packet.,1
The Windows Filtering Platform blocked a packet,1
A more restrictive Windows Filtering Platform filter has blocked a packet,0
The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections,0
The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections,0
The Windows Filtering Platform has allowed a connection,0
The Windows Filtering Platform has blocked a connection,1
The Windows Filtering Platform has permitted a bind to a local port,0
The Windows Filtering Platform has blocked a bind to a local port,1
Spn check for SMB/SMB2 fails.,1
A directory service object was modified,0
A directory service object was modified during a background cleanup task,0
Credential Manager credentials were backed up,0
Credential Manager credentials were restored from a backup,0
The requested credentials delegation was disallowed by policy,1
Credential Manager credentials were read,0
Vault Find Credential,0
Vault credentials were read,0
Vault credentials were read,0
The following callout was present when the Windows Filtering Platform Base Filtering Engine started,0
The following filter was present when the Windows Filtering Platform Base Filtering Engine started,0
The following provider was present when the Windows Filtering Platform Base Filtering Engine started,0
The following provider context was present when the Windows Filtering Platform Base Filtering Engine started,0
The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started,0
A Windows Filtering Platform callout has been changed,0
A Windows Filtering Platform filter has been changed,0
A Windows Filtering Platform provider has been changed,0
A Windows Filtering Platform provider context has been changed,0
A Windows Filtering Platform sub-layer has been changed,0
An IPsec Quick Mode security association was established,0
An IPsec Quick Mode security association ended,0
An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started,1
PAStore Engine applied Active Directory storage IPsec policy on the computer,0
PAStore Engine failed to apply Active Directory storage IPsec policy on the computer,1
PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer,0
PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer,1
PAStore Engine applied local registry storage IPsec policy on the computer,0
PAStore Engine failed to apply local registry storage IPsec policy on the computer,1
